timestamp,nim,action,detail
2026-03-04 06:30:03,2241720092,MOVE_RENAME_FILE,p02.ipynb → None/p02.ipynb
2026-03-04 06:30:03,2241720092,MOVE_RENAME_FILE,p03.ipynb → None/p03.ipynb
2026-03-04 06:30:03,2241720092,MOVE_RENAME_FILE,p04.ipynb → None/p04.ipynb
2026-03-04 06:30:03,2241720092,MOVE_RENAME_FILE,tp01.ipynb → None/tp01.ipynb
2026-03-04 06:30:03,2241720092,MOVE_RENAME_FILE,p01.ipynb → None/p01.ipynb
2026-03-04 06:30:03,2241720092,MOVE_RENAME_FILE,p02.ipynb → None/p02.ipynb
2026-03-04 06:30:03,2241720092,MOVE_RENAME_FILE,p03.ipynb → None/p03.ipynb
2026-03-04 06:30:03,2241720092,MOVE_RENAME_FILE,p04.ipynb → None/p04.ipynb
2026-03-04 06:30:03,2241720092,MOVE_RENAME_FILE,tp01.ipynb → None/tp02.ipynb
2026-03-04 06:30:03,2241720092,MOVE_RENAME_FILE,p01.ipynb → None/p01.ipynb
2026-03-04 06:30:03,2241720092,MOVE_RENAME_FILE,p02.ipynb → None/p02.ipynb
2026-03-04 06:30:03,2241720092,MOVE_RENAME_FILE,p03.ipynb → None/p03.ipynb
2026-03-04 06:30:03,2241720092,MOVE_RENAME_FILE,tp01.ipynb → None/tp03.ipynb
2026-03-04 06:30:03,2241720092,MOVE_RENAME_FILE,p01.ipynb → None/p01.ipynb
2026-03-04 06:30:03,2241720092,MOVE_RENAME_FILE,p02.ipynb → None/p02.ipynb
2026-03-04 06:30:03,2241720092,MOVE_RENAME_FILE,p03.ipynb → None/p03.ipynb
2026-03-04 06:30:03,2241720092,MOVE_RENAME_FILE,tp01.ipynb → None/tp04.ipynb
2026-03-04 06:30:03,2241720092,MOVE_RENAME_FILE,p01.ipynb → None/p01.ipynb
2026-03-04 06:30:03,2241720092,MOVE_RENAME_FILE,p02.ipynb → None/p02.ipynb
2026-03-04 06:30:03,2241720092,MOVE_RENAME_FILE,tp01.ipynb → None/tp05.ipynb
2026-03-04 06:30:03,2241720092,MOVE_RENAME_FILE,tp01.ipynb → None/tp06.ipynb
2026-03-04 06:30:03,2241720092,MOVE_RENAME_FILE,tp02.ipynb → None/tp07.ipynb
2026-03-04 06:30:03,2241720092,MOVE_RENAME_FILE,tp03.ipynb → None/tp08.ipynb
2026-03-04 06:30:03,2241720092,MOVE_RENAME_FILE,tp04.ipynb → None/tp09.ipynb
2026-03-04 06:30:04,2241720092,MOVE_RENAME_FILE,tp05.ipynb → None/tp10.ipynb
2026-03-04 06:30:04,2341720081,MOVE_RENAME_FILE,P1_JS02.ipynb → m02/p01.ipynb
2026-03-04 06:30:04,2341720081,MOVE_RENAME_FILE,P2_JS02.ipynb → m02/p02.ipynb
2026-03-04 06:30:04,2341720081,MOVE_RENAME_FILE,P3_JS02.ipynb → m02/p03.ipynb
